on	#	id	len	u	=
a0651ac	5797e493c14dd5e62dceefc618c8fbdd6cc03b5c21bb73417527a8a93b9d7f55	891055001	1e2f	0	WorkChain
a06516d	9d5f4ad11686bb25011a0ad37a6765c0aa2751a3fae36330f448be06eedd063e	891045001	561	0	InTq
a065102	eff9edcb1767fd0130d60c677896f86bf8d66c74e69dce57cd7a84700598dee9	896425001	e	0	BerGan
a0650e1	8fe4d23051ce4194ae5ac5e427fdb89d04a3e10d83bdda2a149651b461ad0fcc	879205001	97	0	BeNam
a06500d	dda8aa23a463442d5e3cb67f0c4dcf42c25803229a249ddb2d6ad21535225427	907865002	15a	0	ld49b7
a064ea4	5ae52c66ed29d99c047fd1c044729fb12e7c41b2c3022832f8837c576dce4b79	881105001	6f2	0	awa0
a063e14	e14c4b13e4ce1ebe87dbf31464e609beb8e18ab41f74b6a4e6a0f0ef5c135c59	906305005	694	0	awa0
a063c93	aa466f2c7743b8438a9aa5a90ad1e6655f066e385106e64e4188ddda08cfea82	896415001	f1	0	TsVz49b7
a063bf2	8a9d57d9ec0137913baaaf375c016b94745fe5d756ae2712efadf72bf82ba566	896405001	d	0	BeatriceWeizsaecker
a063ba2	d27bbeebfdc596f0135298b4e14a23fa3013b4b1fe7ee5c774ea349979016e14	907865001	ec	0	TsVz49b7
a062f5e	10b20bfc1b39f9f17a03fd5d4c23f3b9be283c6e6e7eef811a747d1b8f3a804c	881095001	636	0	awa0
a062c42	714b52bdf00f122b86060fa97d99d00a2139e2056a88afea26d66c08d72e9fac	882825005	7a	0	md0117
a0629d1	b979fe29780a8c8d78fbf73d5f4910a511edc64d05759f1a89851646a55f1dd2	896395002	3b8	0	BerNews
a0627ff	20298061d51ddc7dda83391cdb2c70791e2bf29338ce6d8376acb8ee05e8866f	907855001	17	0	TerQx
a0626aa	0a6e8132948d4d1c80edc334e438387c403417719aa74040a7f122d37d8b419d	902265004	27	0	ZrCl4
a0620f9	fbd3306c8cc30d710f6efd246d61f1250b5a144e8e6fc21572f174be7d091ccf	892255006	ee	0	BioQx
a0620d3	ed730bd736133500127b588800f7a47ca75be59724f176baf78f8affecafbfa3	896395001	6a	0	NachtiGall
a0620c4	cf2cd6c794995a62b18ffa36b09d8f98ff7b91ecc3004171d5012c0c1eafa8ee	891035001	58	0	NachtiGall
a061fbe	9b213cb58568114d7ece53a84ee854fc4445c809d586948d8a2e5f2637cfe600	906275011	32	0	FranzWind
a061eeb	47ec1607cf26f9f8b196abad68827a8ddee518cb293cc899cba58312f3b98cf2	906325004	9d	0	StaBi
a061e30	074d9bb768f6e6e8c442eed55962d4f5d23e958d5d325de4ccbdb514194e97e2	896385005	85	0	NoElk
a061df8	de74350771ca354f1d1e247f175f2d91d102018d9ea89c6fac4e84fcc21ab71d	911815006	232	0	MoAxa
a061d4e	0430f41f66f81cb317154ce8736977724f0365c1319bc20dd3bc9b31e086fb4a	879175003	549	0	InTq
a061c06	966f364ce1d5779bf31f9083b908e41005a3675f6d03c4f1efd124ca2f5031e6	892255005	649	8	SoBoAltmann
